id,name,lat,lon
4333867188,,14.7281264,-17.4880224
4363241075,,14.6835741,-17.4372388
4363241076,,14.6866177,-17.4366379
4363241077,,14.6874578,-17.4360354
4363241084,,14.6978423,-17.4445699
4363241085,,14.6978801,-17.4385361
4363241086,,14.6980434,-17.4390532
4363241087,,14.6986541,-17.4687186
4363241088,,14.699719,-17.4368745
4363241789,,14.6999576,-17.4701113
4363241790,,14.700289,-17.4366309
4363241791,,14.7010565,-17.4688285
4363241792,,14.7022496,-17.4730557
4363241793,Deuxième porte Mermoz,14.7027722,-17.4733993
4363241795,,14.7032422,-17.4359178
4363241796,,14.7033062,-17.4468801
4363241797,,14.7035585,-17.4469904
4363241798,,14.7046508,-17.4702192
4363241799,,14.704813,-17.4634205
4363241801,,14.7055116,-17.4699749
4363241802,,14.7057205,-17.4519536
4363241803,,14.7057375,-17.4786676
4363241805,,14.7063809,-17.446671
4363241806,,14.7066147,-17.465049
4363241807,,14.7067245,-17.4468027
4363241808,,14.707182,-17.4350647
4363241810,,14.7077655,-17.4662402
4363241811,,14.7079872,-17.4593132
4363241812,,14.7082078,-17.4807072
4363241813,,14.7083993,-17.4528395
4363241814,,14.7087827,-17.4813822
4363241816,,14.7090432,-17.4712905
4363241817,,14.7092798,-17.4708659
4363241818,,14.7094342,-17.4464776
4363241821,,14.7106303,-17.4807323
4363241822,,14.7107288,-17.4465294
4363241823,,14.7117859,-17.4718828
4363241824,,14.7119073,-17.4776326
4363241825,,14.7122868,-17.4774732
4363241826,,14.7124355,-17.446282
4363241828,,14.7125995,-17.4609466
4363241829,,14.7125868,-17.4464024
4363241830,,14.7127505,-17.4623919
4363241831,,14.7128349,-17.4612136
4363241832,,14.7130246,-17.4622302
4363241834,,14.713857,-17.4551338
4363241835,,14.7139766,-17.4539967
4363241836,,14.7139824,-17.4547329
4363241837,,14.7141799,-17.4733954
4363241838,,14.7142181,-17.473733
4363241839,,14.7146611,-17.4819844
4363241840,,14.7151059,-17.4531973
4363241841,Arret Terrain Sacre coeur,14.715238,-17.4654538
4363241842,,14.7153309,-17.4603043
4363241843,,14.7155583,-17.465288
4363241844,Arret Sacre coeur - BEM,14.7156395,-17.4663872
4363241845,,14.7156545,-17.4830728
4363241846,,14.7157229,-17.4460939
4363241847,,14.71573,-17.4597468
4363241848,,14.7159191,-17.4704548
4363241849,,14.7160514,-17.4700585
4363241850,,14.7162015,-17.4461722
4363241851,Arret sacré coeur - BEM,14.7163545,-17.4663856
4363241852,,14.7165293,-17.4560585
4363241853,Arret College sacre coeur,14.7167429,-17.4640648
4363241854,,14.7168467,-17.4557191
4363241855,,14.7169689,-17.4847422
4363241856,,14.7173775,-17.4673452
4363241857,,14.7173654,-17.4582692
4363241858,,14.7173997,-17.4860079
4363241859,,14.7174249,-17.4509834
4363241860,,14.7174878,-17.4582746
4363241861,,14.7176779,-17.4634261
4363241862,,14.7177996,-17.4670066
4363241863,,14.7181804,-17.4710771
4363241864,,14.7182202,-17.4561966
4363241865,,14.7183385,-17.4626316
4363241866,,14.718377,-17.4567156
4363241867,,14.7184255,-17.4327026
4363241868,,14.7184398,-17.4503465
4363241869,,14.718557,-17.4883156
4363241870,,14.7186436,-17.4887147
4363241871,,14.7187632,-17.4869451
4363241872,,14.7188566,-17.4546501
4363241873,,14.7190723,-17.4537142
4363241874,,14.7195085,-17.4901402
4363241875,Arret 2 voies Sacré coeur,14.7196363,-17.4650039
4363241876,,14.7197868,-17.4902944
4363241878,Arret 2 voies sacré coeur,14.7199844,-17.4650702
4363241879,,14.7201805,-17.4468148
4363241880,,14.7203631,-17.4484049
4363241881,,14.7204943,-17.4606305
4363241883,,14.7205659,-17.4574043
4363241884,,14.7206161,-17.4570177
4363241885,,14.7207755,-17.4606429
4363241887,,14.7210135,-17.4318413
4363241888,,14.7209994,-17.485812
4363242490,,14.7215217,-17.4482308
4363242491,,14.7216275,-17.4533231
4363242492,,14.7216835,-17.4874542
4363242493,,14.7220455,-17.487618
4363242494,,14.7221307,-17.4365836
4363242495,,14.7221732,-17.4504479
4363242496,Arret JVC,14.7222542,-17.463973
4363242497,,14.7222251,-17.4468173
4363242498,,14.7222886,-17.4707385
4363242499,,14.7222878,-17.4627003
4363242500,Arret JVC,14.7223125,-17.4638958
4363242501,,14.7225027,-17.484492
4363242502,,14.7225643,-17.4712087
4363242503,,14.7225642,-17.4627602
4363242504,,14.7225869,-17.4525252
4363242506,,14.7228747,-17.455286
4363242507,,14.7228925,-17.4583504
4363242508,,14.722935,-17.4584512
4363242509,,14.7232153,-17.4463499
4363242510,,14.7232211,-17.4308193
4363242511,Arret brioche dorée Liberté 6,14.7233511,-17.4652817
4363242512,Arret brioche dorée Liberté 6,14.7233982,-17.4652062
4363242513,,14.72347,-17.4529776
4363242514,37,14.7235614,-17.4382866
4363242515,,14.7240811,-17.4530524
4363242516,,14.7241496,-17.4833228
4363242517,,14.7243526,-17.4610569
4363242519,,14.7245668,-17.4603588
4363242520,,14.7246076,-17.4570776
4363242521,,14.7249815,-17.4297204
4363242522,,14.7250754,-17.4880605
4363242523,,14.7254762,-17.4882418
4363242524,,14.7255696,-17.4448868
4363242525,Arret Pharmacie,14.7256037,-17.4827764
4363242526,,14.7256911,-17.4294773
4363242527,,14.72577,-17.4526697
4363242528,Arret Liberté 6,14.7258135,-17.4636853
4363242529,Arret Liberte 6,14.7259445,-17.4636752
4363242530,,14.7261725,-17.444648
4363242531,,14.7263712,-17.4567227
4363242532,Arret Bus Mamelles,14.726695,-17.5012411
4363242533,,14.7268825,-17.4525677
4363242534,Arret Terrain liberté 6,14.7268979,-17.4624771
4363242536,,14.7271221,-17.4583123
4363242537,,14.7272561,-17.4566865
4363242538,,14.7276831,-17.458075
4363242539,,14.727741,-17.4516467
4363242540,,14.7279226,-17.4718998
4363242541,,14.7282389,-17.4556864
4363242542,Arrêt Avenue Fahd Ben Abdel Aziz,14.7284268,-17.455351
4363242543,,14.7291084,-17.4902847
4363242544,,14.7291693,-17.4727569
4363242545,,14.7291907,-17.4264541
4363242546,,14.7298318,-17.425269
4363242547,,14.730068,-17.4991682
4363242548,,14.730727,-17.4989676
4522814695,,14.7352258,-17.453225
4522822600,,14.7154215,-17.4661979
4522834294,Garage Saloum saloum,14.7311058,-17.4506659
4522834591,,14.7351869,-17.4529162
4666414391,Terminus Parcelles-Assainies,14.7603996,-17.4394029
4666415329,,14.7604139,-17.4393137
4666430936,,14.6729515,-17.430652
4666430937,Port de Dakar,14.6739709,-17.4325478
4666430938,Hôtel de ville,14.6718059,-17.4321923
4666430939,Place de l’Indépendance,14.6695126,-17.4315741
4666430940,,14.6695142,-17.4326022
4666430941,,14.6694418,-17.4330474
4666430942,Alybaba,14.6694574,-17.4345883
4666430943,,14.6692576,-17.4361145
4666430944,Ville,14.6691169,-17.4386278
4666430945,,14.6705731,-17.4402706
4666430946,Arrêt El Malick,14.671611,-17.4404423
4666430947,,14.6748817,-17.4433605
4666430948,Ville,14.6756718,-17.4439707
4666430949,Polyclinique,14.6779668,-17.4463337
4666430950,Stade,14.6784889,-17.4471505
4666430951,Marché Tilène,14.6794172,-17.4481891
4666430952,Marché Tilène,14.6799822,-17.4485358
4666430953,Marché Tilène,14.6814319,-17.4502967
4666430954,Marché Tilène,14.6820994,-17.4507748
4666430955,Medina,14.6833902,-17.4524284
4666430956,Medina,14.6837606,-17.4525605
4666430957,SAHM,14.6856378,-17.4542992
4666430958,Eglise Saint Joseph,14.6864512,-17.4554847
4666430959,Manguiers,14.6880625,-17.4568862
4666430960,Manguiers,14.6890347,-17.4577499
4666430961,Arret Bus Aftu,14.6907153,-17.4589622
4666430962,Arret Bus Aftu,14.6910578,-17.4597119
4666430963,UCAD,14.6932398,-17.4620743
4666430964,UCAD,14.6930841,-17.4621614
4690360002,,14.6972263,-17.4359454
4690360036,,14.6973736,-17.43604
4691106990,Gare routière de patte d'oie,14.7450212,-17.4498217
4692127339,,14.732494,-17.4930438
4697157995,,14.6729843,-17.4328434
4697157996,,14.6750023,-17.4360339
4697157997,,14.6756332,-17.4388467
4697157998,,14.6756893,-17.4388825
4697157999,,14.6780394,-17.4419173
4697158000,,14.6810538,-17.444821
4697158001,,14.682665,-17.4467334
4697158002,,14.6829158,-17.4470795
4697158003,,14.6843202,-17.4484583
4697158004,,14.6846977,-17.4489326
4697158005,,14.6864249,-17.4506671
4697158006,,14.6866592,-17.451003
4697158007,121,14.6893964,-17.4523333
4697158008,DDD 121,14.6929237,-17.4540848
4697158009,,14.6952652,-17.4533848
4697158010,Tata,14.7006292,-17.4545716
4697158011,,14.7036608,-17.4572002
4697843990,Arret de bus Dakar dem Dikk,14.7427341,-17.435394
4697854889,Arret de bus Dakar dem dikk,14.7449355,-17.4259186
4697855389,Arret de bus Tata,14.742768,-17.4351768
4700720784,Dakar,14.6745396,-17.4305435
4701929393,,14.6928647,-17.4321964
4701929452,,14.6922887,-17.4324795
4703625101,Île de Ngor,14.755604,-17.5118366
4704772330,,14.7177365,-17.4332636
4706167986,,14.6946909,-17.4320887
4706172218,,14.6943947,-17.4318502
4719975389,,14.7511909,-17.5022927
4719975489,,14.7509778,-17.5023916
4733980625,,14.7330019,-17.4558199
4733995121,,14.7339152,-17.4547518
4741882132,47,14.7450271,-17.5241334
4744719732,"3, 47, 61",14.7429653,-17.511669
4744745521,"217, 218",14.742592,-17.5112728
4744772223,47,14.7373891,-17.5106769
4747526721,Arrêt bus rond point Ngor,14.7489389,-17.5143999
4754514478,Port de Dakar,14.6742772,-17.4320345
4754514479,Patisen,14.6728723,-17.4306741
4754535243,,14.6741073,-17.4324653
4754553915,,14.7059066,-17.4785904
4754561629,Arrêt Clémenceau,14.6616769,-17.4369275
4754561630,,14.6577489,-17.4353858
4754568562,,14.6619157,-17.4371501
4754571946,Arret Hopital Principal,14.6625583,-17.4349547
4754571947,,14.662483,-17.4351713
4754577377,,14.6781277,-17.4447005
4754577378,,14.6781381,-17.4448185
4754581034,,14.6840752,-17.4448933
4754581040,,14.6881643,-17.4460989
4754585100,,14.6892547,-17.4466514
4754586063,,14.6923086,-17.4476821
4754586087,Gare Palais 2,14.652875,-17.433433
4754586185,,14.695937,-17.4506466
4754586186,,14.6955841,-17.4501665
4754588023,,14.6929663,-17.4479469
4754590203,,14.6984972,-17.4528018
4754600310,,14.701131,-17.4530898
4754600893,,14.7014135,-17.453022
4754607771,,14.6583678,-17.4357569
4754619722,,14.6658079,-17.4372243
4754633611,,14.6664995,-17.4395961
4754647800,,14.6653104,-17.436093
4754647801,,14.6668421,-17.4370024
4754647802,,14.6850066,-17.4530551
4754647803,,14.6855599,-17.4530967
4754647804,,14.6893354,-17.4507672
4754647805,,14.6903928,-17.4501972
4754647807,,14.691956,-17.4498676
4754647808,,14.6926515,-17.4516661
4754647809,,14.6932871,-17.4529079
4754647810,,14.6933481,-17.4532445
4754647811,,14.6948195,-17.454821
4754647812,,14.6954331,-17.4556646
4754647813,,14.6959941,-17.4557175
4754647814,,14.6983771,-17.4580444
4754647815,,14.6985043,-17.4577453
4754647816,,14.700057,-17.4595799
4754647817,,14.7002335,-17.4592876
4754647818,,14.7023881,-17.4616694
4754647819,,14.7032118,-17.4619885
4754647820,,14.7048148,-17.4634597
4754647821,,14.7052827,-17.4642489
4754667202,,14.7208777,-17.4533793
4754667203,,14.7086102,-17.4588631
4754667204,,14.7057843,-17.4612274
4754667205,,14.7054951,-17.4616801
4754667206,,14.702795,-17.4638989
4754667207,,14.7020193,-17.4647277
4754667208,,14.7004795,-17.4659562
4754667209,,14.6996337,-17.4668621
4754667210,,14.6980712,-17.4671048
4754667211,,14.6960521,-17.4666133
4754667212,,14.6958983,-17.4665875
4754667213,,14.6938795,-17.4688691
4754667214,,14.6938354,-17.4688215
4754667215,,14.6926935,-17.4721454
4754667216,,14.6924963,-17.4725343
4754667217,,14.6845856,-17.4688235
4754667218,,14.6842742,-17.4684252
4754667219,Arrêt autobus DDD 10,14.6775748,-17.4655512
4754667220,,14.678841,-17.4625806
4754669021,,14.6790006,-17.4620898
4754669022,,14.6758935,-17.4536515
4754669023,,14.6753006,-17.4534437
4754669024,,14.6719994,-17.4473806
4754669025,,14.6718379,-17.4469943
4755184494,,14.6810801,-17.455225
4755184495,,14.6833349,-17.4542447
4755184496,,14.6915549,-17.4603326
4755184497,,14.6959684,-17.4656057
4755184498,,14.7117265,-17.4561271
4755189937,,14.6659395,-17.4380198
4755189938,,14.6678778,-17.4392884
4755189939,,14.6759812,-17.4471111
4755189940,,14.6749524,-17.4498221
4755189941,,14.6761317,-17.4510352
4755189942,Arrêt autobus DDD 23-20,14.6778533,-17.452843
4755189943,,14.6796911,-17.4547566
4755191563,,14.6664818,-17.4369495
4755191564,,14.6652129,-17.4354636
4755215627,Arrêt DDD Av Roi Fahd Ben Abdel Aziz,14.7277425,-17.4504062
4755215628,,14.7273015,-17.4471915
4755215629,,14.6809811,-17.4550759
4755215630,,14.678904,-17.4538474
4755215631,Arrêt autobus DDD 23-18,14.6768192,-17.4516198
4755215632,,14.6750367,-17.4497369
4755215633,,14.6762954,-17.4469186
4757628171,Terminus Liberté 6,14.7274063,-17.4602533
4758219965,,14.6825604,-17.444221
4758221432,,14.669142,-17.4389448
4758221433,,14.6813279,-17.4439633
4758230178,,14.7138995,-17.455044
4758267167,,14.6940657,-17.4586364
4758270571,,14.69669,-17.4570875
4758271801,,14.6989174,-17.4549337
4758273792,,14.7013778,-17.4550876
4758287878,,14.7560389,-17.4701018
4803658221,,14.7050674,-17.4583869
4803658321,Tata,14.7069057,-17.4568327
4825582737,DDD 4,14.6885044,-17.4515247
4874822083,,14.7467942,-17.4491853
5044774507,,14.6907051,-17.4503472
5044774508,,14.7106418,-17.4644913
5044842334,,14.698919,-17.4529279
5049073080,Terminus L8 Aéroport,14.7456071,-17.4894464
5049073085,,14.7547732,-17.4686124
5049073086,,14.7536121,-17.4671451
5049073092,,14.7367004,-17.4452116
5049073093,,14.7339169,-17.446129
5049073094,,14.7314026,-17.4462101
5049073095,,14.7269571,-17.4449079
5049073096,,14.7254619,-17.4449495
5049073097,,14.7221885,-17.4469961
